InputSize,Algorithm,RunningTime
4000,SuffixTree,32.868463
4000,TandemRepeat,23.611872
4000,SuffixTree,29.236243
4000,TandemRepeat,17.635247
4000,SuffixTree,19.069937
4000,TandemRepeat,16.506383
4000,SuffixTree,16.041227
4000,TandemRepeat,15.595306
4000,SuffixTree,14.640006
4000,TandemRepeat,16.436121
4000,SuffixTree,15.358997
4000,TandemRepeat,15.952513
4000,SuffixTree,16.90639
4000,TandemRepeat,14.100078
4000,SuffixTree,15.503993
4000,TandemRepeat,16.097435
4000,SuffixTree,21.37887
4000,TandemRepeat,15.011769
4000,SuffixTree,16.02667
4000,TandemRepeat,15.056725
8000,SuffixTree,43.479874
8000,TandemRepeat,45.960253
8000,SuffixTree,37.271369
8000,TandemRepeat,37.891854
8000,SuffixTree,30.302927
8000,TandemRepeat,32.8464
8000,SuffixTree,32.542773
8000,TandemRepeat,33.570989
8000,SuffixTree,32.638826
8000,TandemRepeat,32.235621
8000,SuffixTree,40.450151
8000,TandemRepeat,32.831586
8000,SuffixTree,37.249714
8000,TandemRepeat,35.112737
8000,SuffixTree,30.213281
8000,TandemRepeat,31.852503
8000,SuffixTree,32.279711
8000,TandemRepeat,33.261266
8000,SuffixTree,48.224414
8000,TandemRepeat,41.021703
12000,SuffixTree,70.181622
12000,TandemRepeat,60.400999
12000,SuffixTree,62.0994
12000,TandemRepeat,48.866164
12000,SuffixTree,45.331753
12000,TandemRepeat,47.976303
12000,SuffixTree,44.900988
12000,TandemRepeat,48.914626
12000,SuffixTree,49.823922
12000,TandemRepeat,50.968247
12000,SuffixTree,46.775312
12000,TandemRepeat,49.767574
12000,SuffixTree,48.71505
12000,TandemRepeat,48.102131
12000,SuffixTree,43.408596
12000,TandemRepeat,53.062091
12000,SuffixTree,45.942478
12000,TandemRepeat,49.569479
12000,SuffixTree,43.946256
12000,TandemRepeat,49.540248
16000,SuffixTree,88.825818
16000,TandemRepeat,74.345888
16000,SuffixTree,79.721365
16000,TandemRepeat,72.523995
